ANO;MES;CODIGO_RNT;COD_MUN;COD_DPTO;ESTADO_RNT;RAZON_SOCIAL_ESTABLECIMIENTO;DEPARTAMENTO;MUNICIPIO;CATEGORIA;SUB_CATEGORIA;NUM_EMP;HABITACIONES;CAMAS
2024;2;112124;50001;50;ACTIVO;FINCA TURISTICA EL CONCORO;META;VILLAVICENCIO;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);0;2;7
2024;3;112137;50001;50;ACTIVO;DIANA MILENA CUELLAR VASQUEZ;META;VILLAVICENCIO;VIVIENDAS TURÍSTICAS;APARTAMENTO TURÍSTICO;0;1;4
2024;3;112333;50001;50;ACTIVO;REINALDO  MALAGON RAYO;META;VILLAVICENCIO;VIVIENDAS TURÍSTICAS;OTRO TIPO DE VIVIENDA TURÍSTICA;0;1;6
2024;1;112336;50006;50;ACTIVO;JOSE ANDERSON BOTERO PINEDA;META;ACACIAS;GUIAS DE TURISMO;GUIA DE TURISMO;0;0;0
2024;2;112338;50573;50;ACTIVO;JUAN GABRIEL OCAMPO MORALES;META;PUERTO LOPEZ;GUIAS DE TURISMO;GUIA DE TURISMO;0;0;0
2024;1;112339;50001;50;ACTIVO;REVISTA EMPRESARIAL SAS;META;VILLAVICENCIO;VIVIENDAS TURÍSTICAS;CASA TURÍSTICA;4;4;12
2024;3;112374;50001;50;ACTIVO;COPEY GLAMPING;META;VILLAVICENCIO;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;CAMPAMENTO;0;2;2
2024;2;112695;50001;50;ACTIVO;EXCLUSIVE AGENCIA DE VIAJES;META;VILLAVICENCIO;AGENCIAS DE VIAJES;AGENCIA DE VIAJES OPERADORAS;1;0;0
2024;3;112699;50350;50;ACTIVO;COLOMBIA WONDERS CW;META;LA MACARENA;AGENCIAS DE VIAJES;AGENCIA DE VIAJES OPERADORAS;0;0;0
2024;1;112702;50001;50;ACTIVO;CLARA INES LINARES SANTAFE;META;VILLAVICENCIO;VIVIENDAS TURÍSTICAS;OTRO TIPO DE VIVIENDA TURÍSTICA;0;1;6
2024;4;112712;50573;50;ACTIVO;ALA AGROPECUARIA LOS ANDES S A S;META;PUERTO LOPEZ;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);0;6;11
